VTuber ID,Video Type,Title,Publish Time,URL,Thumbnail URL
1e10c82a40224474bba81c3a9e293c51,live,【庫雷】主播回來了！！歡迎掛台抽點卡！！ 今夜21:00一樣恐怖遊戲| 👻 |  @kukuley_97,2023-12-24T02:12:39Z,https://www.twitch.tv/kukuley_97,https://static-cdn.jtvnw.net/previews-ttv/live_user_kukuley_97-{width}x{height}.jpg
970ee869c72747eeb83f71f3c533fab3,live,⭐白音悠玄⭐12/25 冥界年末加班台 Day11 初見大歡迎💙聖誕快樂!!! | !加班 !ㄆㄕㄕ !周邊 !伺服器 !偷打 !小白粉 !上香,2023-12-24T04:29:28Z,https://www.twitch.tv/youxuan_ghost,https://static-cdn.jtvnw.net/previews-ttv/live_user_youxuan_ghost-{width}x{height}.jpg
5535c9524eb046c38e172ebfa06b302f,live,🔴AR60 ASIA【#原神 / Genshin】聖誕快洛!! 音樂台 有問題可留言<3  ▹ @ruroroisme ◃,2023-12-24T11:01:09Z,https://www.twitch.tv/ruroroisme,https://static-cdn.jtvnw.net/previews-ttv/live_user_ruroroisme-{width}x{height}.jpg
3de6bc82438b451abf5ebe76a366be24,live,【𝟭𝟮𝟮5】歡樂節快樂 ੭ ˙ᗜ˙ )੭ / 有缺都可以++   / !心結 !簽到 !吃啥 / 力拼明年目標紫勾勾 ⭐,2023-12-24T11:04:02Z,https://www.twitch.tv/taotao_0,https://static-cdn.jtvnw.net/previews-ttv/live_user_taotao_0-{width}x{height}.jpg
17946118c2d641819c847aba0c491e13,live,【加班台Day#25】聖誕節快樂！！ DC公告看抽獎活動！ |綠界500元有轉盤~ -1221 | @kyusho9999 |,2023-12-24T11:40:43Z,https://www.twitch.tv/kyusho9999,https://static-cdn.jtvnw.net/previews-ttv/live_user_kyusho9999-{width}x{height}.jpg
42844ee6e0cc47938829b43a3101b9bb,live,12/22【加班台】去補眠，晚上八點到九點麻將工商，快下班啦還想轉的記得動作快，記得要去買MARASY鋼琴演奏會的票  @lusaminach,2023-12-24T14:33:51Z,https://www.twitch.tv/lusaminach,https://static-cdn.jtvnw.net/previews-ttv/live_user_lusaminach-{width}x{height}.jpg
b9a09f50375248aebc3d6afdb7f5adf6,live,掛掉寶,2023-12-24T23:11:59Z,https://www.twitch.tv/eunice00602040,https://static-cdn.jtvnw.net/previews-ttv/live_user_eunice00602040-{width}x{height}.jpg
4077520d348749e49598cd5fa1058b6a,live,【雷門達也】流浪村莊 12/25【聖誕爆肝週 Day 1】 Day 869,2023-12-25T00:26:38Z,https://www.twitch.tv/raimontatsuya,https://static-cdn.jtvnw.net/previews-ttv/live_user_raimontatsuya-{width}x{height}.jpg
887b37336c9c4730809ace8b5e38df17,live,今晚9:00🎅約會🎄( *´ސު｀*) 繼續蓋迪士尼樂園🎡｜🎀訂閱75折❃ 領限定桌布ෆ,2023-12-25T02:26:08Z,https://www.twitch.tv/isyourlulu,https://static-cdn.jtvnw.net/previews-ttv/live_user_isyourlulu-{width}x{height}.jpg
9b33b75521bd43bca3346790ac65559c,live,◜荻娜◞ 12/25    HIIIII  UWU   @mtow9140    ✓ !數學  !民代  !YT,2023-12-25T03:01:59Z,https://www.twitch.tv/mtow9140,https://static-cdn.jtvnw.net/previews-ttv/live_user_mtow9140-{width}x{height}.jpg
aef2ed42d49343f28394b6335695b5ac,live,FH5 1225,2023-12-25T03:08:08Z,https://www.twitch.tv/yuncream,https://static-cdn.jtvnw.net/previews-ttv/live_user_yuncream-{width}x{height}.jpg
8b810380ed254a5e8a85b65552ba4e61,live,【七兔】12/25 聖誕節快樂🍚( '༥' 🥢 )｜ @nayomi0204 ｜!VIP !聖誕小七兔 !點歌,2023-12-25T03:20:49Z,https://www.twitch.tv/nayomi0204,https://static-cdn.jtvnw.net/previews-ttv/live_user_nayomi0204-{width}x{height}.jpg
09c9c71c41e24e7d9498ce41a78dae1c,live,"The Most Whatever Christmas Day | Singing, Chatting, whatever!",2023-12-25T03:22:12Z,https://www.twitch.tv/smg2daisy,https://static-cdn.jtvnw.net/previews-ttv/live_user_smg2daisy-{width}x{height}.jpg
6b36f446b10e4ea99d5d80d60beeee21,live,Merry X'mas!!! |【莉恩 ベニス】| !socials !yt !tiktok,2023-12-25T04:05:26Z,https://www.twitch.tv/venicec,https://static-cdn.jtvnw.net/previews-ttv/live_user_venicec-{width}x{height}.jpg
6bcb75418dd24274b2fe4b8e60a94999,live,【聊天】各位安安 鬼混了一天-w- | 聖誕快樂~,2023-12-25T04:19:20Z,https://www.twitch.tv/kaila7730,https://static-cdn.jtvnw.net/previews-ttv/live_user_kaila7730-{width}x{height}.jpg
9be839573d1a4944a93740ca42fa65d4,live,ଘ聖誕節，恐遊節,2023-12-25T04:57:42Z,https://www.twitch.tv/sariel_0041,https://static-cdn.jtvnw.net/previews-ttv/live_user_sariel_0041-{width}x{height}.jpg
3a932cc8813343b6bb5d822cb2f53558,live,"【12/25】Merry Christmas(´▽`ʃ♡ƪ)""  @naomi_vtuber !魔儲【VTuber/ 娜歐蜜】",2023-12-25T05:08:22Z,https://www.twitch.tv/naomi_vtuber,https://static-cdn.jtvnw.net/previews-ttv/live_user_naomi_vtuber-{width}x{height}.jpg
46a16e41f2af4523adeb4556f2e0b0d5,live,[國/粵] 12/25 聖快^3^ ٩(๑´д`๑)۶ﻌﻌﻌ ♥ ❤︎,2023-12-25T05:13:27Z,https://www.twitch.tv/gogo_1205,https://static-cdn.jtvnw.net/previews-ttv/live_user_gogo_1205-{width}x{height}.jpg
f6a8c59d8b8d4e009d4e147ec268cd73,live,【school days同時視聴】12/25  聖誕節快樂🎄伊藤誠の悪口会場【Ellise/あえぷろ】@momos_e,2023-12-25T05:40:48Z,https://www.twitch.tv/ellise_aepro,https://static-cdn.jtvnw.net/previews-ttv/live_user_ellise_aepro-{width}x{height}.jpg
0979940d57534fc0948e24369aa495c5,live,christmas,2023-12-25T05:43:31Z,https://www.twitch.tv/dkxy19,https://static-cdn.jtvnw.net/previews-ttv/live_user_dkxy19-{width}x{height}.jpg
e57eccbb01a64ef2990cad149cd08364,live,【房產達人2】聖誕節快樂！Merry Christmas！【梓雀Azujaku】,2023-12-25T05:44:21Z,https://www.twitch.tv/azujaku,https://static-cdn.jtvnw.net/previews-ttv/live_user_azujaku-{width}x{height}.jpg
80dda735a7784d7fb999892874a05f0c,live,【短暫手台】聖誕節快樂！🎄拆禮物>ω< @tsume_neko,2023-12-25T06:30:31Z,https://www.twitch.tv/tsume_neko,https://static-cdn.jtvnw.net/previews-ttv/live_user_tsume_neko-{width}x{height}.jpg
