VTuber ID,Video Type,Title,Publish Time,URL,Thumbnail URL
1e10c82a40224474bba81c3a9e293c51,live,【庫雷】日本恐怖遊戲 | 歡迎掛台抽點卡！！ | 👻 |  @kukuley_97,2023-12-24T02:12:39Z,https://www.twitch.tv/kukuley_97,https://static-cdn.jtvnw.net/previews-ttv/live_user_kukuley_97-{width}x{height}.jpg
970ee869c72747eeb83f71f3c533fab3,live,⭐白音悠玄⭐12/25 冥界年末加班台 Day11 初見大歡迎💙我回來打OSU了 聖誕快樂!!! | !加班 !ㄆㄕㄕ !周邊 !伺服器 !偷打 !小白粉 !上香,2023-12-24T04:29:28Z,https://www.twitch.tv/youxuan_ghost,https://static-cdn.jtvnw.net/previews-ttv/live_user_youxuan_ghost-{width}x{height}.jpg
5535c9524eb046c38e172ebfa06b302f,live,🔴AR60 ASIA【#原神 / Genshin】聖誕快洛!! 音樂台 有問題可留言<3  ▹ @ruroroisme ◃,2023-12-24T11:01:09Z,https://www.twitch.tv/ruroroisme,https://static-cdn.jtvnw.net/previews-ttv/live_user_ruroroisme-{width}x{height}.jpg
17946118c2d641819c847aba0c491e13,live,【加班台Day#25】聖誕節快樂！！ DC公告看抽獎活動！ |綠界500元有轉盤~ -1225 | @kyusho9999 |,2023-12-24T11:40:43Z,https://www.twitch.tv/kyusho9999,https://static-cdn.jtvnw.net/previews-ttv/live_user_kyusho9999-{width}x{height}.jpg
b9a09f50375248aebc3d6afdb7f5adf6,live,掛掉寶,2023-12-24T23:11:59Z,https://www.twitch.tv/eunice00602040,https://static-cdn.jtvnw.net/previews-ttv/live_user_eunice00602040-{width}x{height}.jpg
887b37336c9c4730809ace8b5e38df17,live,🎅DC約會中🎄( *´ސު｀*) 🎡｜🎀訂閱75折❃ 領限定桌布ෆ,2023-12-25T02:26:08Z,https://www.twitch.tv/isyourlulu,https://static-cdn.jtvnw.net/previews-ttv/live_user_isyourlulu-{width}x{height}.jpg
aef2ed42d49343f28394b6335695b5ac,live,LOL 1225,2023-12-25T03:08:08Z,https://www.twitch.tv/yuncream,https://static-cdn.jtvnw.net/previews-ttv/live_user_yuncream-{width}x{height}.jpg
6b36f446b10e4ea99d5d80d60beeee21,live,Merry X'mas!!! |【莉恩 ベニス】| !socials !yt !tiktok,2023-12-25T04:05:26Z,https://www.twitch.tv/venicec,https://static-cdn.jtvnw.net/previews-ttv/live_user_venicec-{width}x{height}.jpg
9be839573d1a4944a93740ca42fa65d4,live,ଘ聖誕節，恐遊節,2023-12-25T04:57:42Z,https://www.twitch.tv/sariel_0041,https://static-cdn.jtvnw.net/previews-ttv/live_user_sariel_0041-{width}x{height}.jpg
3a932cc8813343b6bb5d822cb2f53558,live,"【12/25】Merry Christmas(´▽`ʃ♡ƪ)""  @naomi_vtuber !魔儲【VTuber/ 娜歐蜜】",2023-12-25T05:08:22Z,https://www.twitch.tv/naomi_vtuber,https://static-cdn.jtvnw.net/previews-ttv/live_user_naomi_vtuber-{width}x{height}.jpg
46a16e41f2af4523adeb4556f2e0b0d5,live,[國/粵] 12/25 聖快^3^ ٩(๑´д`๑)۶ﻌﻌﻌ ♥ ❤︎,2023-12-25T05:13:27Z,https://www.twitch.tv/gogo_1205,https://static-cdn.jtvnw.net/previews-ttv/live_user_gogo_1205-{width}x{height}.jpg
677a773535814b5fa2d557da2f80bb89,live,【楓之谷歌回】邊解神之子主線邊唱 歡迎點歌【猫月ましろ】,2023-12-25T06:40:12Z,https://www.twitch.tv/nekotukimashiro,https://static-cdn.jtvnw.net/previews-ttv/live_user_nekotukimashiro-{width}x{height}.jpg
107fac8e77f74af8ba95491ae9492642,live,✦ 御守千秋 ✦ 突然的開台 就像聖誕節寒流一樣 猝不及防....(❁´◡`❁)｜12/25｜,2023-12-25T06:41:13Z,https://www.twitch.tv/omorisanshu,https://static-cdn.jtvnw.net/previews-ttv/live_user_omorisanshu-{width}x{height}.jpg
c7f53f2fbdbe4db488629ab4d738a16a,live,"❤️Phasmophobia+Ghost Watchers+Demonologist❤️實況 拆禮物樹了,拆完再抓鬼?   ft.",2023-12-25T07:13:05Z,https://www.twitch.tv/yanyuanxi,https://static-cdn.jtvnw.net/previews-ttv/live_user_yanyuanxi-{width}x{height}.jpg
05055e62d34241888df31217ac25e671,live,merry christmas!!! hohoho with lots of games play with viewer !  !,2023-12-25T07:19:41Z,https://www.twitch.tv/vtuberkono,https://static-cdn.jtvnw.net/previews-ttv/live_user_vtuberkono-{width}x{height}.jpg
76a17ecab93c4c3db069c9a5d8d0ecf5,live,【2023/12/25 @chiami911 】聖誕節快樂，紅包拿來｜!DC !飯友,2023-12-25T08:32:08Z,https://www.twitch.tv/chiami911,https://static-cdn.jtvnw.net/previews-ttv/live_user_chiami911-{width}x{height}.jpg
bf277797951346fe991c27c79a6c5081,live,12/25【兔兔】如果你開心就揉揉我的臉~ /新訂閱圖｜兔兔與魔儲合作拉~｜ !魔儲 ｜ @rabbit1102 ｜   (◍•ᴗ•◍)❤,2023-12-25T08:42:38Z,https://www.twitch.tv/rabbit1102,https://static-cdn.jtvnw.net/previews-ttv/live_user_rabbit1102-{width}x{height}.jpg
682e400513134d0bacfa85513958c64d,live,1225 冷到被白癡x明天牽網路x工作好閒,2023-12-25T08:47:24Z,https://www.twitch.tv/zher_0904,https://static-cdn.jtvnw.net/previews-ttv/live_user_zher_0904-{width}x{height}.jpg
9d9c6477329245cbb2557895f4f15686,live,/ᐠ. ̫ .ᐟ\ 1225 聖誕快樂 .ᐟ.ᐟ 超哇的LINE貼圖上架囉⸜♡⸝ ✿ !LINE !周邊 !DC !COVER,2023-12-25T08:47:53Z,https://www.twitch.tv/iitifox,https://static-cdn.jtvnw.net/previews-ttv/live_user_iitifox-{width}x{height}.jpg
7754a4ea82814b7fbbecfcf459382001,live,【♡阿咪老蘇♡】12/25 ❣ 有今日限定 訂閱斗內音效唷❣聖誕節快樂 有你們真豪 ᏊᎣꈊᎣᏊ♡,2023-12-25T09:05:18Z,https://www.twitch.tv/qmi_uwumai0612,https://static-cdn.jtvnw.net/previews-ttv/live_user_qmi_uwumai0612-{width}x{height}.jpg
ba562aad440d483e988d3ce7e7217c94,live,[貓宮香草]  12/25 生蛋  !DC  !自主訂閱積分,2023-12-25T09:08:38Z,https://www.twitch.tv/vanilla_shironeko,https://static-cdn.jtvnw.net/previews-ttv/live_user_vanilla_shironeko-{width}x{height}.jpg
5b62816b7dee4c13856f3c21629be3c4,live,【聖誕節活動】｜2023/12/25｜聖誕活動開始囉,2023-12-25T09:12:58Z,https://www.twitch.tv/mica1130,https://static-cdn.jtvnw.net/previews-ttv/live_user_mica1130-{width}x{height}.jpg
